#phi      w             vs             vz
 1   -4.6102656E-03  0.1980765      0.2026867 
 3   -1.6456848E-02  0.5903372      0.6067940 
 7   -2.1378014E-02   1.361944       1.383322
10   -1.4074923E-02   1.936969       1.951044
20   -1.2016468E-03   3.856521       3.857723
30   1.7888113E-03   5.779499       5.777710
