#phi      w             vs             vz
 1   -3.5583661E-03  0.2301818      0.2337401  
 3   -1.3760958E-02  0.6875822      0.7013432
 7   -1.3121687E-02   1.594627       1.607749
10   -7.4222730E-03   2.273509       2.280931
20   5.7755102E-04   4.539226       4.538648
30   8.5984590E-04   6.805655       6.804795
