#phi      w             vs             vz
 1   4.2750677E-03  0.2179241      0.2136490 
 3   1.4926698E-02  0.6507155      0.6357888
 7   2.0031214E-02   1.507728       1.487697 
10   1.4016517E-02   2.149028       2.135011
20   3.2149721E-03   4.288909       4.285695
30   2.3319267E-03   6.432300       6.429968
