#phi      w             vs             vz
 1   -4.9364138E-03  0.1666491      0.1715855 
 3   -1.7837351E-02  0.4958095      0.5136468
 7   -2.8899573E-02   1.137910       1.166809
10   -2.3171961E-02   1.613246       1.636418 
20   -6.8169138E-03   3.194181       3.200998
30   6.2892243E-04   4.784079       4.783450
