#phi      w             vs             vz
 1   -1.8288105E-03  0.2768807      0.2787095 
 3   -6.6789221E-03  0.8298021      0.8364810
 7   -4.8303152E-03   1.934082       1.938912
10   -2.7232599E-03   2.762170       2.764893
20   1.6494929E-04   5.523465       5.523300
30   -3.1907239E-04   8.284679       8.284999 
