#phi      w             vs             vz
 1   -2.0609535E-03  5.0839536E-02  5.2900489E-02 
 3   -7.6415297E-03  0.1519230      0.1595645
 7   -2.1583758E-02  0.3491875      0.3707713
10   -3.2188643E-02  0.4923817      0.5245703
20   -4.8270974E-02  0.9478633      0.9961343
30   -4.3024834E-02   1.386632       1.429657
