#phi      w             vs             vz
 1  2.8388370E-03  0.2590322      0.2561933
 3  1.0554332E-02  0.7756982      0.7651439 
 7  9.4013670E-03   1.806068       1.796666 
10  5.3716698E-03   2.578406       2.573034 
20  1.8098847E-03   5.155103       5.153293 
30  3.5824504E-04   7.732021       7.731663 
