#phi      w             vs             vz
 1   -3.8251630E-03  9.1764286E-02  9.5589444E-02
 3   -1.3467400E-02  0.2732170      0.2866844 
 7   -3.2813679E-02  0.6234583      0.6562720
10   -4.1288979E-02  0.8772804      0.9185694
20   -3.1434938E-02   1.699977       1.731412
30   -1.5067017E-02   2.514432       2.529500
