#phi      w             vs             vz
 1   4.0232935E-03  0.1115012      0.1074779 
 3   1.4380842E-02  0.3314782      0.3170974
 7   3.6315359E-02  0.7564770      0.7201616
10   4.3132521E-02   1.066695       1.023562
20   3.1383157E-02   2.085947       2.054563
30   2.0930365E-02   3.104613       3.083683
