#phi      w             vs             vz
 1   1.9820405E-03  3.3033345E-02  3.1051306E-02 
 3   5.6584999E-03  9.8824456E-02  9.3165956E-02
 7   1.4745903E-02  0.2281387      0.2133928
10   2.1091072E-02  0.3225106      0.3014196
20   4.1565381E-02  0.6233897      0.5818242
30   5.3963143E-02  0.9111190      0.8571559
