#phi      w             vs             vz
 1   4.6220268E-03  0.1428704      0.1382484 
 3   1.7424844E-02  0.4248480      0.4074232
 7   3.5533201E-02  0.9727428      0.9372096
10   3.6577806E-02   1.376163       1.339585
20   1.9723134E-02   2.715848       2.696125
30   8.6701307E-03   4.062163       4.053493 
